Name,Всего проектов,Дата рождения,Дата смерти,Знак зодиака,Карьера,Место рождения,Место смерти,Рост,Сыгранные/озвученные персонажи,Фильмография
Адриана Казелотти,5,06/05/1916,19/06/1997,Телец,"Актриса, Войс-актриса, Певица","Бриджпорт, Коннектикут, США","Лос-Анджелес, Калифорния, США",1.63,Белоснежка (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%91%D0%B5%D0%BB%D0%BE%D1%81%D0%BD%D0%B5%D0%B6%D0%BA%D0%B0%20296c10ae8c7580d28e85d38725007365.md),"Белоснежка и семь гномов (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%91%D0%B5%D0%BB%D0%BE%D1%81%D0%BD%D0%B5%D0%B6%D0%BA%D0%B0%20%D0%B8%20%D1%81%D0%B5%D0%BC%D1%8C%20%D0%B3%D0%BD%D0%BE%D0%BC%D0%BE%D0%B2%20294c10ae8c7580e9a813f0ec0648a627.md)"
Люсиль Ла Верн,70,07/11/1872,04/03/1945,Скорпион,"Актриса, Войс-актриса","Нэшвилл, Теннесси, США","Калвер-Сити, Калифорния, США",1.68,Злая королева Гримхильда (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%97%D0%BB%D0%B0%D1%8F%20%D0%BA%D0%BE%D1%80%D0%BE%D0%BB%D0%B5%D0%B2%D0%B0%20%D0%93%D1%80%D0%B8%D0%BC%D1%85%D0%B8%D0%BB%D1%8C%D0%B4%D0%B0%20296c10ae8c7580f18841e02386bbe04b.md),"Белоснежка и семь гномов (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%91%D0%B5%D0%BB%D0%BE%D1%81%D0%BD%D0%B5%D0%B6%D0%BA%D0%B0%20%D0%B8%20%D1%81%D0%B5%D0%BC%D1%8C%20%D0%B3%D0%BD%D0%BE%D0%BC%D0%BE%D0%B2%20294c10ae8c7580e9a813f0ec0648a627.md)"
Мэттью Бродерик,85,21/03/1962,,Овен,"Актёр, Войс-актер, Певец","Нью-Йорк, США",-,1.73," Симба (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%A1%D0%B8%D0%BC%D0%B1%D0%B0%20296c10ae8c7580d6ba85e9ee2df2d38f.md)","Король лев (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C%20%D0%BB%D0%B5%D0%B2%20294c10ae8c75809b8e6cdddddddb733c.md)"
Джереми Айронс,120,19/09/1948,,Дева,"Актёр, Войс-актер, Продюсер","Каус, остров Уайт, Англия, Великобритания",-,1.87," Шрам (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%A8%D1%80%D0%B0%D0%BC%20296c10ae8c7580fab635ded8cbb8a0fe.md)","Король лев (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C%20%D0%BB%D0%B5%D0%B2%20294c10ae8c75809b8e6cdddddddb733c.md)"
Нейтан Лейн,100,03/02/1956,,Водолей,"Актёр, Войс-актер, Певец","Джерси-Сити, Нью-Джерси, США",-,1.65," Тимон и Пумба (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%A2%D0%B8%D0%BC%D0%BE%D0%BD%20%D0%B8%20%D0%9F%D1%83%D0%BC%D0%B1%D0%B0%20296c10ae8c758093a58ff0433c009907.md)","Король лев (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C%20%D0%BB%D0%B5%D0%B2%20294c10ae8c75809b8e6cdddddddb733c.md)"
Мойра Келли,50,06/03/1968,,Рыбы,"Актриса, Войс-актриса","Куинс, Нью-Йорк, США",-,1.63,Нала (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%9D%D0%B0%D0%BB%D0%B0%20296c10ae8c7580ad83f2f84dcd1504bb.md),"Король лев (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C%20%D0%BB%D0%B5%D0%B2%20294c10ae8c75809b8e6cdddddddb733c.md)"
Дики Джонс,90,25/02/1927,07/07/2014,Рыбы,"Актёр, Войс-актер","Снайдер, Техас, США","Нортридж, Калифорния, США",1.68,Пиноккио (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%9F%D0%B8%D0%BD%D0%BE%D0%BA%D0%BA%D0%B8%D0%BE%20296c10ae8c7580a7af68eda895e16d88.md),"Пиноккио (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9F%D0%B8%D0%BD%D0%BE%D0%BA%D0%BA%D0%B8%D0%BE%20294c10ae8c758015a2f4fab2ee472c14.md)"
Клифф Эдвардс,100,14/06/1895,17/07/1971,Близнецы,"Войс-актер, Музыкант, Певец","Хэннибал, Миссури, США","Голливуд, Калифорния, США",1.71,Сверчок Джимини (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%A1%D0%B2%D0%B5%D1%80%D1%87%D0%BE%D0%BA%20%D0%94%D0%B6%D0%B8%D0%BC%D0%B8%D0%BD%D0%B8%20296c10ae8c7580d0a385c40a6827c72f.md),"Пиноккио (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9F%D0%B8%D0%BD%D0%BE%D0%BA%D0%BA%D0%B8%D0%BE%20294c10ae8c758015a2f4fab2ee472c14.md), Дамбо (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%94%D0%B0%D0%BC%D0%B1%D0%BE%20294c10ae8c7580aeb4dbef5ba0a08d2b.md)"
Джоди Бенсон,110,10/10/1961,,Весы,"Актриса, Войс-актриса, Певица","Рокфорд, Иллинойс, США",-,1.68,Ариэль (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%90%D1%80%D0%B8%D1%8D%D0%BB%D1%8C%20296c10ae8c75809fa744d0f8bfed29a9.md),"Русалочка (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%A0%D1%83%D1%81%D0%B0%D0%BB%D0%BE%D1%87%D0%BA%D0%B0%20294c10ae8c7580a8bf16e8e519568b29.md), История игрушек 2 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%202%20296c10ae8c758025b37cc48f40d6bc95.md), История игрушек 3 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%203%20298c10ae8c75806a83bdd3068afbdc00.md)"
Пэт Кэрролл,100,05/05/1927,30/07/2022,Телец,"Актриса, Войс-актриса","Шривпорт, Луизиана, США","Кейп-Код, Массачусетс, США",1.57,Урсула (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%A3%D1%80%D1%81%D1%83%D0%BB%D0%B0%20296c10ae8c75806b8f48fd5150526b69.md),"Русалочка (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%A0%D1%83%D1%81%D0%B0%D0%BB%D0%BE%D1%87%D0%BA%D0%B0%20294c10ae8c7580a8bf16e8e519568b29.md)"
